0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Basic Science and Technology
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1(Basic Science),REVISION OF 2nd TERM WORK,REVISION OF 2nd TERM WORK
(IT),REVISION OF 2nd TERM WORK,REVISION OF 2nd TERM WORK
(PHE),Health and Hygiene,"At the end of the lesson, pupils should be able to: I.Enumerate some ways of purifying water. 2-Describe some ways of purifying water."
2(Basic Science),Forms of energy,"At the end of the lesson, pupils should be able to: i. explain energy; ii. identify different forms of energy, iii. describe the uses of energy to man"
(IT),Classification of computers by generations – first generation -Third generation,"At the end of the lesson, pupils should be able to: i. Explain first and third generations of computers"
(PHE),Hygiene,"At the end of the lesson, pupils should be able to i. demonstrate the process of purifying water. ii.explain how they purify water at home"
3(Basic Science),Sound Energy: -Objects that produce sound instruments,"At the end of the lesson, pupils should able to: i.identify sounds of different objects and animals; ii. mention various instruments that an make sound; iii. produce looal instrument that can make sounds: iv. create sound with any man-made instrument"
(IT),computers by generaüons -first generation -Third generation,"At the end of the lesson, pupils should able to Explain first and third generations of computers"
(PHE),Hygiene,"At the end of the lesson, pupils should able to -purification of hand at home"
4(Basic Science),Colour -Classifiation of objects using colour -Uses of colour,"At the end ofdle kon, pupils åouldbe able to: i. identify different colours; ii. clasify objects using colouc iii. identify colours in living and non. living things; iv.discuss the uses of colours. v. appraise the importance of colours."
(IT),Classification of computers by generations -Fourth generation -Fifth generation,"At the end of the lesson, pupils should able to Explain fourth and fifth generations of computers"
(PHE),Rest and sleep,"At the end of the lesson, pupils should be able to i. identify proper way of resting and sleeping"
5(Basic Science),Air – Existence of Air -Meaning -Use ofair,"At the end of the lesson, pupils should be able i. say meaning of air ii. identify the gases of air iii. demonstrate the air in nature iv. explain the use of air."
(IT),Classification of computers by generations -Fourth generation Fifth generation,"At the end of the lesson, pupils should able to -Explain fourth and fifth generations of computers"
(PHE),Safety Education,"At the end ofthe leson, pupils should be able i. explain the meaning of safety education list the safety education condition for first aid treatment."
6(Basic Science),Air- floatation Objects that flow jn aar Make things that float in air,"At the end of the lesson, pupils should be able to: i. mention objects that float in air; ii.identify the characters ot the objects that can float In air; iii. construct/make things (kites, blown balloons etc.) float or fly in air."
(IT),Classification by purpose -Special purpose -General purpose,"At the end of the lesson, pupils should be able to -Explain special and general purpose computers"
(PHE),First Aid,"At the end of the lesson, pupils should be able to: i. state conditions that requires first aid treatment ii. Decribe how to treat the treatment"
7,Mid-Term Assessment,Mid-Term Assessment
8(Basic Science),Water – Object that Float in water,"At the end of the lesson, pupils should be able to: i. mention objects that float in water ii. describe the characteristics of object that float in water iii. demonstrate how to make objects float in water."
(IT),Classification by purpose -Special purpose -General purpose,"At the end of the lesson, pupils should be able to i. Explain special and general purpose computers"
8-9(PHE),First Aid Continue,"At the end of the leson, pupils should be able to: i.explain more condition that requires first aid treatment"
9(Basic Science),Water – Object that sink in water,"At the end ofthe lesson, pupils should be able to: i.identify objects ffat sinkin water; ii. describe the characteristics of objects that flow in water iii. examine how heavy objects sinkin water,"
(IT),Shutting —down the computer -Sleep -Hibernate -Restart -Shutdown,"At the end of the lesson, pupils should be able to i. Carry out the various of shutüng down tie computer ii. Distinguish between the various ways of shutting down the computer"
10(Basic Science),Road user -Meaning of road -Road users Correct use of the road,"Pupils should be able to. i. say the meaning of roads; ii. identify different road users (e.g. cars, bicycles, motor cycle, humans, animals etc) iii how each user correctly use road;"
(IT),Shutting down the computer -Sleep -Hibernate -Restart -Shutdown,"At the end of the lesson, pupils should be able to i. Carry out the vaious ways of shuting down the computer ii. Distinguish between the various ways of shutting down the computer"
(PHE),REVISION,REVISION
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
