0,1,2
,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
,Mathematics Scheme of Work for Primary/Basic 1,Mathematics Scheme of Work for Primary/Basic 1
,Class,Primary/Basic 1
,Subject,Mathematics
,Term,First Term
Week,Topics,Learning Objectives
1,WHOLE NUMBERS: Counting Skill: Counting numbers from 1-10 Reverse counting ofthe numbers.,"Pupils should be able to: i. identify numbers from 1-10 ii. count objects from 1 – 10 apply numbcrs in real life situations e.g. head count, pans of the body. iii. categorize the number of different objects e.g. bottle tops, pencils etc"
1,"Writing Skill: Writing numbers 1 – 10,","Pupils should be able to: i. identify numbers from 1-10 ii. count objects from 1 – 10 apply numbcrs in real life situations e.g. head count, pans of the body. iii. categorize the number of different objects e.g. bottle tops, pencils etc"
2,WHOLE NUMBERS Counting Skill: -Counting 11-20 – Reverse counting of the numbers.,"Pupils should be able to: I) identify and count number 11-20, 1-20 ii) count objects from 11-20 urite numbers 11-20 in numerals. iij) apply numbers in real life situations head count, part ofthe body. iv) categorize the number of different objects e.g. bottle tops, pencils etc rote count up to 20 and 20-1 v) solve quantitaåve reasoning in exercises related to counting of numbers."
2,"Writing Skill – Writing numbers 1 -20, 1-20 and 20-1 – Sorting and classificaåon of objects on numbers 1-20","Pupils should be able to: I) identify and count number 11-20, 1-20 ii) count objects from 11-20 urite numbers 11-20 in numerals. iij) apply numbers in real life situations head count, part ofthe body. iv) categorize the number of different objects e.g. bottle tops, pencils etc rote count up to 20 and 20-1 v) solve quantitaåve reasoning in exercises related to counting of numbers."
3,WHOLE NUMBERS -Counting Skill: -Reverse counting,Pupils should be able to; i. count numbers 1-20 numbersl -20 and 20-1 ii. write numbers 1-20 of the numbers jn nurnerals. iii. identify numbers 1 •20
3,Writing Skill – relate numbers to quantity numbers 1-20.,Pupils should be able to; i. count numbers 1-20 numbersl -20 and 20-1 ii. write numbers 1-20 of the numbers jn nurnerals. iii. identify numbers 1 •20
4,"WHOLE NUMBERS (Contd) -Counting Skill: Numbers 21-30, 1-30 Reverse counting of the numbers.","By the end of the lesson, pupils should be able to: I. Idenåfy numbers from 21-30, 1-30 ii. count objecb from 21 30, 1-30 iii. me numbers 1-30 in numerals. iv. write numbers 1-30 in ascending order and descending order v. write numbers 1-10 in words"
4,"Writing Skill: Writing numbers 21-30, 1-30 Writing numbers 110 in words.","By the end of the lesson, pupils should be able to: I. Idenåfy numbers from 21-30, 1-30 ii. count objecb from 21 30, 1-30 iii. me numbers 1-30 in numerals. iv. write numbers 1-30 in ascending order and descending order v. write numbers 1-10 in words"
5,"WHOLE NUMBERS (Contd) Counting Skills: Numbers 31-40, 1-40. -Reverse counüng of the numbers.","At the end of the lesson, pupils should be able to: i. idenåfy numbers from 31 • 40 ii. count objects from 31-40 and do the reverse iii. counting of the numbers. iv. write numbers 31-40, 1-40 in numerals. v. relate with the symbol 0 as a number vi. identifr the number 0. vii. differentiate the number 0 from letter 0."
5,Writing Skill: Write numbers I- 40 -Identify number 1-40 as a digit.,"At the end of the lesson, pupils should be able to: i. idenåfy numbers from 31 • 40 ii. count objects from 31-40 and do the reverse iii. counting of the numbers. iv. write numbers 31-40, 1-40 in numerals. v. relate with the symbol 0 as a number vi. identifr the number 0. vii. differentiate the number 0 from letter 0."
6,"Comparing and ordering numbers Counting Skill:-Numbers from 41-50, 1-50 -Reverse counting of the numbers","Pupils should be able to: i. count and identify numbers from 41 – 50 ii. count objects from 41 -50 iii. write numbers 41 – 50, 1-50 in numerals. iv. identify and represent numbcrs from 1 —20 on the number line v. identify the value of numbers vii. compare the value of numbers viii. identify the equal to sign (=) ix. counting from 1 – 20 increase a digit number by one in order."
