0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,Security Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision of 2nd term work,-what the general precaution measure is all about.
2,Concept of security road accident,"By the end of the lesson, pupils should be able to; i. Mention cause of road accident; ii. State ways of reducing accident on the road."
3,Sources of danger: fire outbreak,By the end of the lesson pupils should be able to; i. mention the causes of fire outbreak ii. describe the possible places fire outbreak could occur.
4,Sources of danger: relationship with strangers,By the end of the lesson pupils should be able to; i. define relationship ii. describe and identify a stranger iii. take precautionary measures when dealing with strangers
5,Sources of Danger -Eating Contaminated Food.,"By the end of the lesson; pupils should be able to: (l) mention different type of foods (ii) identify contaminated foods e.g. Expired food in cans, food not prepared hygienically."
6,Sources of fake drugs,"By the end of the lesson, pupils should be able to; i. define drug ii. mention the danger of taking drugs"
7,MID TERM BREAK/ MID TERM TEST,MID TERM BREAK/ MID TERM TEST
8,Sources of danger: -Drug Abuse,"By the end of the lesson, pupils should be able to; i. define drug abuse; ii. state how drugs can be abused"
9,Sources of Danger. -Gang(s),"By the end of the lesson, pupils should be; i. identify gangs; ii. mention the effect and danger of joining gang(s)"
10,Revision,Revision
11,EXAMINATION,EXAMINATION
12,EXAMINATION,EXAMINATION
