0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Christian Religious Studies
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,REVISION Prayer position i. Standing ii. Kneeling iii. Prostrating iv. Lying down v. Sitting,"By the end of the lesson, pupils should be able to: i. List different positions Christians could take while praying ii. Name people in the Biblc that prayed in the different positions iii. State possible reasons why people pray in these different positions"
2,The power of prayer,"By the end of the lesson, pupils should be able to: 1. Define power 2. Identify Bible evidences of the power of prayer 3. Mention people in the Bible that prayed"
3,The power of prayer,"By end of the lesson, pupils should be able to: i. Mention something that can hinder our prayers ii. State what they asked for in their prayers iv. Explain how God answered their prayers"
4,The Early life of Jesus,"By the end of the lesson, pupils should be able to: i. Narate the birth ofJesus ii. Explain the massage of the angel to Joseph iii. Name the gifts presented to Jesus by the three wise men"
5,Toe early life of Jesus,"By end of the lesson, pupils should be able to: 1. Explain the presentation of Jesus in the temple 2. List the names of people who were at the presentation of Jesus in the temple 3. State what Simeon said at the temple at the presentation of Jesus"
6,Jesus preparation for His ministry,"By the end of the lesson, pupils should be able to: 1. define ministry 2. the events that prepared Jesus for Ministry 3. Explain the baptism of Jesus Chnst"
7,MID-TERM BREAK,MID-TERM BREAK
8,Jesus preparation for His ministry,"By the end orthc lesson, pupils should be able to: 1. Define temptation 2. Describe the temptation of Jesus 3. Mention the names of Jesus disciple 4. Discuss the significance of Jesus calling the 12 to be His disciples"
9,The power of Jesus i. Calming the sea ii. Feeding of five thousand people iii. The great catch of fishes iv. Jesus turned water into wine,"By the end of the lesson, pupils should be able to: 1. Narnte the eveny that show the power of Jesus 2. Explain why Jesus helped the people in the events 3. Discuss importance of obedience as illustrated in the geat catch of fishes 4. Discuss the turning of water into wine"
10,The power of Jesus,"By the end ofthe lesson, pupis should be able to; 1. Discuss the more powers of Jesus e.g. Power over evil, diseases and death 2. Narrate the stories of the paralized man whom Jesus healed 3. Name people in the Bible who Jesus raised from die dead 4. State the significance of Jesus healing raising from die dead, power over sin and death"
11,REVISION,REVISION
12&13,EXAMINATION,EXAMINATION
