0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Physical and Health Education
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Game,"At the end of the lesson, pupils should be able to i. list the basic skills in Basket ball ii. explain some skills mentioned iii. perform the skills mentioned"
2,Game,"At the end of the lesson, pupils should be able to i.identify basket ball ii.perform the skill bouncing in basketball"
3,Game,"At the end of the lesson, pupils should be able to l.identify basket ball 2.perform the skill bouncing in basketball"
4,Game,"At the end ofthelesson, pupils should be able to: i. 1mitate movement and sounds made by people ii. Animals iiiMachine around them,"
5,Safety in Basketball,"At the end of the lesson, pupils should be able to i.state the safety rules in basket ball ii.explain the safety rules in basketball"
6,Swimming,"At the end of the lesson, pupils should be able to i. Idenüfy skills in swimming ii. exlain tie skills in swimming"
7,MID.TERM ASSESSMENT,MID.TERM ASSESSMENT
8,Safety rules in Swimming,"At the end of the lesson, pupils should be able to: Explain mainframe and super computers"
9,Swimming,"At the end of the lesson, pupils should be able to i. List the skills in swimming e.g. free style, butter fly stroke, breast stroke e,t.c ii. .Demonstrate skills in swimming"
10,REVISION,REVISION
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
