0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Social Studies
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision of Last Term’s Work,
2,Drugs,Pupils should be able to: i. Explain the meaning of drugs ii. List emmples of drugs iii. Classify drugs into legal and illegal
3,Categories of drugs legal drugs & illegal drugs,Pupils should be able to: 1. Categorize drugs into legal and illegal drugs 2 List examples of legal drugs 3. List examples of illegal drugs
4,"Drug abuse , meaning and types",pupils should be able to: I. Explain the meaning of drugs abuse. 2. Mention types of drug abuse 3. List examples of drugs that can be abused
5,Effects of drug abuse,Pupils should be able to: i. Explain the effects of drug abuse ii. Mention symptoms of drug abuse
6,Ways of preventing drug abuse,Pupils should be able to: 1. Explain ways of preventing drug abuse 2. Mention symptoms of drug abuse
7,MID-TERM BREAK,MID-TERM BREAK
8,Harmful substances -meaning and examples of harmful substance,Pupils should be able to: 1. Explain the meaning of harmful substance 2. Mention examples of harmful substance 3. Explain the reason why people take harmful substance
9,Ways of preventing intake of harmful substance,"By the end of this lesson, people should be able to i.explain ways of preventing intake of harmful substance ii. mention symptoms of taking harmful substance"
10,Danger and Insecurity -meaning -sources of danger and insecurity,"By the end ofthis lesson, people should be able to i. define danger and insecurity ii.mention sources of danger and insecurity iii. mention sources of danger and insecurity in the school and in the environment"
11,How to keep away from danger,"Pupils should be able to: i. Explain how to keep away from danger ii. Mention emergency numbers in Nigeria (767, 112)"
12,EXAMINATION,EXAMINATION
