0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Basic Science and Technology
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Readines test/ Revision of 2nd term work,Readines test/ Revision of 2nd term work
2(Basic Science),Meaning and Charactetistics of plants -Clases Of plants -Characteristics of plants,"By the end of the lesson, pupils should able to: i. say the meaning of plant ii. identify and classify plants, iii. describe the characteristics of plants (presence of chrolphyll, defect to rays of light, have celulose. etc.)"
(IT),Microsoft Word -Toolbar,-Identfy various tools on the tool bar and state functions
(PHE),Swimming,"Bybe end of leson; pupils should be able to i. meaning of swimming (Aquatic) ii. Mention the basic style/stroke in swimming e.g freestyle, backstroke, butterfly, breast stroke etc. iii. list the basic styles in swimming"
3(Basic Science),Uses of plants -Classes of plants based on life span -Uses of plant,"By the end of the lesson, pupils should be able to: i. mention examples of classes of plants; ii. examine plants based on their life span (annual, biennial, perennial etc.); iii. describe the uses of plants (food, medicine, hcrbs, furniture, wood as fuel, fruits etc. iv. analyze the importance of plants in thc environment"
(IT),Microsoft Word -Tool bar,Identify various tools on the Tool bar and state their functions
3-4(PHE),Swimming,"By the end ofthe less on; pupils should be able to i. Demonstrate the basic skill in swimming ii. Perform the basic style/stroke in swimming free style, crawl, brust stroke, back stoke buterfly etc iii. Explain the safety rules in swimming iv. State the health benefit of swimming"
4(Basic Science),Plants – As living things -Features of plants,"By the end of the lesson, pupils should be able to: i.identify the features of plants in the locality; ii. explains these observed features of animals"
(IT),Menu Bar,Identify various items on the Menu bar and state their functions
5(Basic Science),Plants -As living things -Plane exhibiting characteristic of living things,By the end of the leson. pupils should be able to: i.Differentiate between plants and non-living things ii. Discuss plant exhibiting the cahracteristics of living things (growth. reproduction; feeding movement iritability etc iii. Compare plants and animals as living
(IT),Menu Bar,Identify various items on the Menu bar and state their functions
(PHE),Health and hygiene pollution -Types of pollution,"By the end of the lesson, pupils should be able to i. State meaning of pollution ii. Mention types of pollution, air pollution, noise pollution, land pollution. water pollution iii. Explain the kinds of pollution (Noise pollution in chemical pollution, air pollution etc)"
6(Basic Science),Meaning and characterisucs of animals -Animals in their habitats -Classes of animals -Characteristics of animals,"By the end of the lesson, pupils should be able to: i. identify animals and their habitat; ii. describe the classes of animals (lower and higher animals); iii. describe the characteristics of animals iv. Compare lower animal with higher animals"
(IT),Typing and saving on Microsoft word,i. Type and save a short composition about themselves
(PHE),Pollution -Types of pollution -And Prevention,"By the end of the lesson, pupils should be able to i. Discribe the kind of pollution, air pollution, noise pollution, chemical pollution ii. State the meaning of noise pollution. air pollution and chemical pollution iii. Describe ways of preventing pollution e.g air pollution, noise polution and chemical polluüon iv. Mention the effects of air pollution. noise pollution and chemical pollution"
7,MID-TERM ASSESSMENT,MID-TERM ASSESSMENT
8(Basic Science),Uses of animals -uses of animals -Useful products from animals,"Byffe end of the lesson, pupils should be able to: i. describe common uses of animals; ii. identify useful products from animals; iii. examine other uses of animals (sport, games, security, transpon etc.) iv. analyse the importance of animals their environment"
(IT),Typing and saving on Microsoft word,Type and save a short composition about themselves
8-9(PHE),First Aid,By the end of the class pupils should be able to i. Discribe the meaning of first aid ii. Describe the duties of a first aider iii. Explain the qualities of a first aidcr
9(Basic Science),Animals – As living things -Features,"By the end of the lesson, pupils be able to: i. identify the features of animals in the locality ii. explain the observed features ofanimals"
(IT),Formating,–Load and save composition and format it
10(Basic Science),Animals – As living things (Characteristic),"by the end of the class pupils should be able to: i. Discuss animals exhibiting the characeristics of living things. feeding, movement, irritability etc ii. Differentiate between animals and other living things iii. Compare plants and animals as living things"
(IT),formatting,load the saved composition and format it
10(PHE),REVISON,REVISON
11,REVISON,REVISON
12,EXAMINATION,EXAMINATION
