0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Yoruba Scheme of Work for Primary/Basic 3,Yoruba Scheme of Work for Primary/Basic 3,Yoruba Scheme of Work for Primary/Basic 3
,CLASS,Primary/Basic 3
,SUBJECT,Yoruba
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Idånwo Ikini Kaäbö Si Saa Kinni,"Ni Opin Idanilekoo, Akekoo yoöo le: i. Dåhun ibere iwåju won ii. Se ätunse ti o ye Iåti gbaradi fun isé Kinni."
2,Agbéyéwö Ise Säa Koja,"Ni Opin Idanilekoo, Akekoo yoöo le: i. Ye Awon ise odun keji wo Yékeyéké ii. Dahun iberé abé åyéwö"
3Ede,Onkä ni édé Yoruba 61-100,"Ni Opin Idanilekoo, Akekoo yoöo le: i. ka önkä låti ogota dé Ogorun-un ii. Se idåmo äröpé ati åyokurö iii. Dåhün lbééré abé eko"
Asa,Ofin Opöpona,"Ni Opin Idanilekoo, Akekoo yoöo le:; i. So ni päto ami öfin oju popo ii. Sälåyé iwulö öfin oju popo iii. Dahün ibééré abé éko"
Lit,Ewi Akénilégbon,"Ni Opin Idanilekoo, Akekoo yoöo le:; i. Ka pélu ké ewi nåå ii. Fa koko inu ewi nåä yo iii. So åyorisi ewi nåä iv. Dåhün lbééré abe eko"
4EDE,Ojuse Obi si Omo Ipésé ääbö inäwö,"Ni Opin Idanilekoo, Akekoo yoöo le:; i. Sålåyé ojuse obi si omo ii. Dåruko bf i; méta ojuse obi si omo iii. Lo öwe ti o bå åkori nåä mu iv. Da’hün ibéére abe eko"
Asa,lse Owo ati Ise onå,"Ni Opin Idanilekoo, Akekoo yoöo le:; i. Dåroko orisii ise owo åti ise onä ii. So bi a nse se ookokan won iii. Dåhün ibééré abe éko"
Lit,Alo Apamé,"Ni Opin Idanilekoo, Akekoo yoöo le:; i. Pa ålo åpamo to moyan Iori ii. Fa koko eko yo iii. Dåhün åwon ibééré abé eko"
5Ede,Silébü Ijébu__ I-je-bu Oronibö__O-ro-ni-bo,"Ni Opin Idanilekoo, Akekoo yoöo le:; i. Pin Oro si silébü ii. Lo åmi ohün fun pinpin silébü iii. Dåhün ibééré abé eko nåå"
Asa,Awon ohun élö inu ilé,"Ni Opin Idanilekoo, Akekoo yoö le:; i. Dåruko orisi ohun élö to ninu ilé ii. So ise oköokan wan iii. Dåhün ibééré abé eko nåå"
