0,1,2
Basic Science Scheme of Work for Primary/Basic 6,Basic Science Scheme of Work for Primary/Basic 6,Basic Science Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,Basic Science
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Revision of previous year’s work and Readiness test,
2,LIVING AND NON-LIVING THINGS -Meaning and identification of living and non-living things -Characteristics of living things.,"By the end of the lesson, pupils be i. define living things and non-living things. ii. analyze the characteristics of living things. iii. Classify items in their environment as living or non-living things"
3,GROWING CROPS -Conditions for better crops. -Importance of fertilizers to the soil. -Components of fertilizer. -Growing crops with compost or fertilizer.,"By the end of he lesson, pupils be able to: 1. state the conditions for growing crops; 2. write dom the importance of fertilizers to the soil. 3. enumerate the components of fertilizer grow crops using compost or fertilizers."
4,THE CIRCULATORY SYSTEM -Meaning of circulatory -describe and state some basic functions of the heart; -draw a typical heart and label it.,"By the end of the lesson, pupils be able to: 1. explain the meaning of circulatory system; 2. name and identify the parts of the hurnan heart, 3. describe and state some basic functions of the heart; 4. draw a typical heart and label it."
5,THE HUMAN CIRCULATORY SYSTEM -The blood vessels. -The cirwlation of blood.,"By the end of the lesson, pupils be able to: 1. name and idenüfy blood vessels; state the function of blood vessels ; 2. differentiate among arteries, veins and capillaries; 3. describe how food and materials are distributed to different pare of the body by blood, 4. draw blood vessels."
6,drugs -Types of drugs: synthetic and naturally occurring drugs,"By the end of the lesson, pupils be able to: i explain the meaning of drugs; ii describe the types of drugs; iii analyse the importance of drugs"
7,MID TERM BREAK,
8,drug abuse. -Drugs that are mostly abused: hard drugs. -Effects of drug abuse to man and the society.,"By the end of the lesson, pupils be able to: i. describe what drug abuse is; ii enumerate drugs that are mostly abused; iii. appraise the effects of drug abuse to man and the society."
9,The Human Reproductive System -Definition of the reproductive system -Identification of male and female reproductive organ -Function of male and female reproductive organ,"lesson, pupils be able to: 1. explain the reproductive system; 2. identify the structures of male and female reproductive organs; 3. examine the functions of male and female reproductive organs. 4. discuss the importance of the human reproductive system"
10,-Meaning of puberty Physical and emotional changes in puberty,"By the end of the lesson, pupils be able to: 1. discuss the meaning of puberty; 2. describe the changes in male and female during puberty; 3. distinguish between physical and emotional changes in puberty 4. explain the importance of pubelty in child development"
11,"Respiratory system -meaning of respiratory system; -organs of respiratory system such as mouth, nose, lungs, throat etc. Functions of respiratory system;","By the end of the lesson, pupils be able to: 1. develop a definition of respiratory system 2. enumerate and idenffy respiratory organs 3. discuss the furüions of respiratory system."
12,REVISION,
13,EXAMINATION,
