0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS
Cultural and Creative Art Scheme of Work for Primary/Basic 6,Cultural and Creative Art Scheme of Work for Primary/Basic 6,Cultural and Creative Art Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,Cultural and Creative Art
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Introduction to life Drawing Readiness test,"By the end of the lesson, pupils should be able to: i. appraise life drawing; ii. identify different parts of the body; iii. sketch a full human figure."
2,Rhythmic Pattern 2,"By the end of the lesson, pupils should be able to: i. tap the bass drum rhythm of the Nigerian National Anthem; ii. explain rhythm; iii. analyse types of rhythm;"
3,Theatrical elements and personnel,"By the end of the lesson, pupils should be able to: i. identify elements of a play production; ii. mention the various people involved in a play production; iii. evaluate one Nigerian theatrical personnel in history."
4,Forms of dance,"By the end of the lesson, pupils should be able to: i. state the forms of dance; ii. criticize notable Nigerian dancers; iii. demonstrate one form of dance."
5,Imaginative and Creative Drawing,"By the end of the lesson, pupils should be able to: i. analyse imaginative drawing; ii. draw from imagination; iii. evaluate created artwork."
6,Choral Singing,"By the end of the lesson, pupils should be able to: i. explain choral singing; ii. classify choral singing, iii. list types of singing"
7,MID TERM TEST/OPEN DAY,MID TERM TEST/OPEN DAY
8,Casting and Rehearsal,"By the end of the lesson, pupils should be able to; i. analyse the process of casting; ii. discuss the meaning of rehearsal; iii. plan a rehearsal schedule for end of term/year play ."
9,Card Making and decoration,"By the end of the lesson, pupils should be able to: i. list the types of cards; ii. justify materials for making cards; iii. create greeting cards"
10-11,REVISION,
12-13,EXAMINATION,
