0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
English Studies Scheme of Work for Primary/Basic 6,English Studies Scheme of Work for Primary/Basic 6,English Studies Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,English Studies
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Speech work: Revision intonation practice,"By the end of this lesson, pupils should be able to: i. engage in dialogue and conversation using appropriate intonations; ii. read words that change meaning and pronunciation with different stress; iii. read sentences that change meaning depending up to stress intonation."
1,Structure: Revision on verb form i. finite verbs ii. Infinite verbs iii. Regular verbs/Irregular verbs,"By the end of this lesson, pupils should be; i. identifying verb forms ii. make accurate sentences using the different verb forms they identify iii. differentiate among various verb forms."
1,Reading: Revision: Passages that encourage vocabulary development.,"By the end of the lesson, pupils should be able to: 1. read the given passage to understanding. 2. identify and discuss new words. 3. use new words in making sentences."
1,Dictation for the week,"Pupils are to be guided to learn the following words: grapes, zealous, core, reprimand, bacterial, eradicate, hygiene, absorbent."
1,Writing: Narrative Composition -How I spent my last holiday,"By the end of thc lesson pupils should be able to: i. explain the three elements of a narrative ii. Highlight the key or attracted scenes, places, events etc in holiday iii. write an essay in not less than 150 words about how they spent their holiday."
2,"Speech work: Aural Discrimination of the vowels /t:/ and // one, warm Ja:i and PJ Lark, part- lock, pot","By the end of the lesson, pupils should be able to: i. draw the contrast between the sounds ii. identity and distinctively pronounce the vowel sounds iii use each word having the sounds in sentence."
2,Structure: Finding words in a simple dictionary or long list (extract from passage read),"By the end of the lesson, pupils should be able to: i. categorize words in alphabetical order. ii. use the guide words given at the top of each page on a dictionary to search for specific words iii. determine other information about a given word from the dictionary"
2,Reading: Non-Fiction passage,"By the end of the lesson, pupils should be able to: i. identify difficult words from the passage ii. write the meaning of the identified words and use them in another meaningful sentence. iii. demonstrate how each word is applicable to the issues in the passage, iv. develop answers from the passage to the given passage."
2,Dictation for the week,"Pupils are to be guided to: Learn the following words: self-quarantine, synergy, distancing, Isolation, pandemic, virtual, remote, internet, contaminate, incubation, immune, support."
2,Writing: Introduction Paragraphs,"By the end of the lesson, pupils should be able to: i. identify the main point of the essay. ii. paraphrase the identified points in a short and precise manner. iii. write an introductory paragraph on any given topic"
3,"Speech work: Aural Discrimination of consonant sounds. /t/ and // tin – thin, /l/ and Ir/","By the end of the lesson, pupils should be able to: i. identify and pronounce consonant sounds /t/ and /0/, /l/ and /r/, /s/ and /h/. ii. write the words containing the sounds. iii. contrast between the consonant sounds respectively. iv. develop meaningful sentences with the pairs of sounds."
3,Word Formation: Synonyms Beautiful – pretty Large – big Small – tiny,"By the end of the lesson, pupils should be able to: i. define synonyms; ii. identify the synonyms of given words. iii. use the words and synonyms correctly in sentence."
3,Reading: Passages on selected stories.,"By the end of the lesson, pupils should be able to: i. read the passage independently aloud/ ii. identify unfamiliar words in the given passage. iii. pronounce the identified words correctly and give their meaning using their dictionary. iv. establish relationship between the main ideas and the supporting ideas. v. infer meaning of implied information in the passage."
3,Dictation for the week,"Pupils are to be guided to: i. learn the following words: destination, organic, healthy, wealth, accessible, environment, waste, clean, household, capacity."
3,Writing :Middie Paragraph,"At the end of the lesson, pupils should be able to: i. create basic paragraph outlines that include a topic sentence. ii. develop the three supporting details of middle paragraph. iii. formulate three complete topic sentences, and three complete sentences as supporting details."
3,Supplementary reading,"By the end of this lesson, pupils should be able to: i. share with other pupils the story read. ii. discuss lessons learnt from the book. iii. relate events in the story to their personal lives."
4,Speech work: Intonation practice on command,"By the end of the lesson, pupils should be able to: i. use expression with appropriate stress placement ii. make telephone conversation with a distinct stress on a different word each times iii. label the stressed and unstressed word in each sentence they practice."
4,Structure: Word formation- Antonyms for example: Narrow — wide Good – evil,By the end of the lesson pupils should be able to: i. define antonyms ii. produce the antonyms of any given words. iii. use the words and antonyms correctly in sentence
4,Reading: Passage on Means of Transportation,"By the end of the lesson, pupils should be able to: i. identify words related to transportation from the passage ii. inaugurate the relationship between the topic sentence and the main idea in a given passage. iii. answer questions correctly form the given passage. iv. affix contextual meanings to new words generate from the given passage. v. demonstrate how each word is applicable to the means of transportation ."
4,Dictation for the week,"Pupils are to be guided to learn the following words: Inspiration, millennium, zealous, syndicate, judge, pandemic, epitome, vein blur, print"
4,Writing: Conclusion Paragraphs,"By the end of the lesson, pupils should be able to: i. construct a good concluding paragraph in order to drive the purpose of the composition home."
5,Speech work: Intonation practice on Questions and statements,"By the end of the lesson, pupils should be able to: i. use yes/no questions tend to have rising intonation/pitch at the end. ii. answer why and how questions tends to have falling intonation/pitch at the end. iii. make statements with falling intonations / pitch on the last syllable of the sentence"
5,Structure: Review of verb forms.,"By the end of the lesson, pupils should be able to: i. differentiate types of verb in relation to time; ii. apply the various verb forms previously learnt appropriately in sentences. iii. identify the various verb forms use in each sentence."
5,Reading: Passage on an accident or an event.,"By the end of the lesson, pupils should be able to: i. identify words related to accident or an event. ii. inaugurate the liaison between the topic sentence and the main ideas in a given passage iii. read independently and answer questions from the given passage. iv. affix correspondent meanings to new words generate from the given passage v. demonstrate how each word is related to an accident or an event."
5,Dictation for the week,"Pupils are to be guided to learn the following words: compensate, inheritance, heritage, hostile, bereave, agitate, strike, labour, asylum, empress"
5,"Writing: Simple composition introductory, middle and concluding paragraphs","By the end of the lesson, pupils should be able to: i. write a well-developed composition effectively highlighting the: introductory, middle and concluding paragraph"
5,Grammar: Review of indirect speech:,"By the end of the lesson, pupils should be able to: i. define indirect speech ii. identify indirect speech as used in any passage. iii. use appropriately, punctuation, omit all quotation marks end the sentence with full stop. iv. use pronouns appropriately"
5,Dictation for the week,"Pupils are to be guided to learn the following words. Audit, broadcast, fade documentary, feature, scene anchor, illustration, animation theater."
5,Writing: Narrative writing: giving an eye witness account of an event.,"By the end of the lesson, pupils should be able to: i. define narrative writing; types, elements and examples ii. use appropriate verbs and linking words in writing; iii. compose a narrative writing on any given topic."
5,Supplementary reading,"By the end of this lesson, pupils should be able to: i. share with other pupils the story read. ii. discuss lessons learnt from the book. iii. relate events in the story to their personal lives."
6,"Speech Work: Use of intonation to distinguish between command, question and statement","By the end of this lesson, pupils should be able to: i. distinguish between command, question and statement ii. use the correct intonation while giving command iii. use correct intonation while asking questions in use the correct intonation while making statement respectively."
6,Reading: Reading formal letter,"By the end of this lesson, pupils should be able to: i. recognize features of a formal letter after reading it ii. deduce the important point from the letter iii. answer any question about the contact of the letter"
6,Grammar: Direct Speech,"By the end of this lesson, pupils should be able to: i. define direct speech ii. identify a direct speech as use in any sentence or passage iii. use appropraite punctuations like the quotation mark(“”) correctly iv. choose appropraite reporting verb"
6,Dictation for the week,"By the end of the lesson, pupils should be able to i. Situation ii. Understanding iii. Possible iv. Corridor v. Behavior vi. Compromise vii. Structure viii. Contacts ix. Negotiations x. Present"
6,Writing: Formal letters,"By the end of the lesson, pupils should be able to: i. list the features of a formal letter. (a) heading, body, address etc. ii. apply these features to write their own letters. iii. identify the essentials of a formal letter and apply it in any given letter writing exercise"
6,Supplementary reading,"By the end of the lesson, pupils should be able to i. share with other pupils the story read. ii. discuss lesson learnt from the book. iii. relate events in the story to their personal life."
7,MID TERM,MID TERM
8,Speech Work: Reporting incidents,"By the end of the lesson, learners should be able to: i. makes a verbal report or incidents. ii. demonstrate good speech habits of clear pronunciation, correct stress and intonation iii. give account of event in a logical order and vividly."
8,Reading: Passage on national values.,"By the end of the lesson, learners should be able to: i. analysethe passage clearly, ii. identify difficult words from the passage. iii. demonstrate the importance of the national value the passage addresses. iv. answer questions attached to the passage."
8,Grammar: Review of indirect speech,"By the end of the lesson, learners should be able to: i. define indirect speech ii. identify indirect speech as used in any passage iii. use appropraite punctuation, omit all quotation mark, end the sentence with full stop iv. use pronouns appropraitely"
8,Dictation for the week,"Pupils are to be guided to learn the following words. Audit, broacast, fade, documentary, feature, scene anchor, illustration, animation theatre"
9,Writing: Narrative writing: giving an eye witness account of an event.,"By the end of the lesson, pupils should be able to: i. define narrative writing; types, elements and examples ii. use appropriate verbs and linking words in writing; iii. compose a narrative writing on any given topic."
9,Spelling: Dictation for the week.,"Pupils are guided to: Learn the following words: allergy, cardiac, epidemic, hormone, infection, potent, obesity, squat, therapy, vulnerable"
9,Writing: Formal letter,"By the end of the lesson, pupils should be able to: i. name the features of a formal letter. ii. write formal letters using all the feature, listed. iii. write various formal letters to suit different situations."
10,Revision,
11,Examination,
