0,1,2
,CLASS,Primary/Basic 1
,SUBJECT,English Studies
,TERM,Third Term
WEEK,TOPIC,Learning Objectives
1,"Phonics: Production of basic sounds in given words correctly e.g. W, Ibi, /d/","By the end of the lesson, pupils should be able to: i. produce and identify basic sounds correctly; ii. differentiate between letters and sounds; iii. use the letters at beginning, middle, and end of words."
1,Structure: Asking about the number of objects with the question form.,By the end of the lesson pupils should be able to: i. list some objects; ii. ask about the number of objects using the right question form; iii. answer questions about the number of objects correctly
1,Vocabulary: New Words,"By the end of the lesson, pupils should be able to: i. identify new words; ii. explain new words; iii.use new words in own speech."
1,Reading: Introduction of basic reading skills,"By the end of the lesson, pupils should be able to: i. identify the basic reading skills; ii. list the basic reading skills — phonics, phonemic awareness, vocabulary, fluency and reading comprehension; iii. explain the importance of each reading skill; v. apply the basic skills in their reading."
2,,"By the end of the lesson, pupils should be able to: i. presents letters using the correct sequence of strokes and curves right from the start; ii. recognize the strokes and curves that make up a letter; iii. use stroke and curves to form Alphabet."
2,,"By the end of the lesson, pupils should be able to: i. pronounce sounds / u, v, w/ correctly; ii. contrast letter u, v, w and sounds [u, v, w/; ii. identify u, v, w, sounds in a word."
2,,"By the end of the lesson, Pupils should be able to: i. listen to songs and rhymes attentively; ii. sing songs taught; iii. recite rhymes."
2,Vocabulary: New words,"By the end of the lesson, pupils should be able to: i. identify new words; ii. explain the meaning of new words; iii. use new words in own speech."
2,Reading: The sounds I hear,"By the end of tie lesson, pupils should be able to: l.- identify the sounds they hear and what makes such sounds; ll. reproduæ the sounds tiey hear, Ill. disünguish the sounds."
2,Structure: Animal sounds,"By the end of the lesson, pupils should be able l. identify and name sounds made by various animals; ll. reproduce sounds rnade by animals; Ill. differentiate between animal sounds and human speech; V. construct sentences with the sounds e.g. ‘The dog darks’."
2,Writing: Guided Composiåon: My father.,"By the end of the lesson, pupils should be able to: i. complete a guided composition on”my father; ii. describe their fathers in 5 simple sentences; iii.compare their write -ups."
3,Phonics: Expressing gratitude and farewell,"By the end of the lesson, pupils should be able to: i. express gratitude through play role; ii. express farewell in various ways and situations; iii. express farewell."
3,Simple greetings and commands: Differentiate between tones in greeting and commands,"By the end of the lesson, pupils should be able to: i. demonstrate greetings for different people; ii. differentiate between tones in greetings and commands."
3,Structure: Habitual actions in the simple present tense,"By the end of the lesson, pupils should be able to: l. explain what habitual action is; ll. make correct sentences to demonstrate habitual actions in the simple present tense; Ill. consider the differences in singular and plural subjectpredicate."
3,Vocabulary: New words,"By the end of the lesson, pupils should be able to: l. spell the new words correctly; Il. explain the meanings of the new words; ll. use the new words in new sentences."
3,Reading: Song on habitual actions,"By the end of the lesson, pupils should be able to : i. sing songs on habitual actions; ii. derive lessons from the songs; iii. sing another related song."
3,"Writing: Writing of words that begin with u, v, w.","By the end of the lesson, pupils should be able to: l. pronounce words that begin with u, v, w correctly; ll. write words that begin with u, v, and w; Ill. use the words in sentences."
3,Supplementary reading,"By the end of the lesson, pupils should be able to: i. share with other pupils the story read; ii. discuss lesson leamt from the book; iii. relate events in the stoty to their personal lives."
4,Phonics: Pronundafion practice e.g and It! as in ‘thank’/tank,"By the end of the lesson, pupils should be able to: l. pronounce le/and Iti correcdy; ll. differenüate between I e/ and N; iii. give examples of words with the sounds."
4,Structure: Continuous actions,"By the end of the lesson, pupils should be able to: i. explain continuous action; ii. identify continuous actions in sentences; iii. make own sentences to show continuous actions."
4,"Vocabulary:New words: Identify self, family numbers e.g. father, mother, brother and sister etc…","By the end of the lesson, pupils should be able to: identify self, family members e.g. mother, brother, father etc… l. clearly pronounce names of persons identified; ii. explain meanings of new words; iii. use new words in own sentences."
4,Readings: Days of the week.,"By the end of the lesson, pupils should be able to: l. say the days of the week correctly; ll. spell and pronounce the days of the week correctly; Il. use the days in sentences."
4,Writing: Word formation,"By the end of the lesson, pupils should be able to: i. pronounce sounds; ii. blend sounds with another to form word; ii. differentate between sounds and letters."
