0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Basic Science
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,REVISION OF 2nd TERM WORK,REVISION OF 2nd TERM WORK
2,Forms of energy,"At the end of the lesson, pupils should be able to: i. explain energy; ii. identify different forms of energy, iii. describe the uses of energy to man"
3,Sound Energy: -Objects that produce sound instruments,"At the end of the lesson, pupils should able to: i.identify sounds of different objects and animals; ii. mention various instruments that an make sound; iii. produce looal instrument that can make sounds: iv. create sound with any man-made instrument"
4,Colour -Classifiation of objects using colour -Uses of colour,"At the end ofdle kon, pupils åouldbe able to: i. identify different colours; ii. clasify objects using colouc iii. identify colours in living and non. living things; iv.discuss the uses of colours. v. appraise the importance of colours."
5,Air – Existence of Air -Meaning -Use ofair,"At the end of the lesson, pupils should be able i. say meaning of air ii. identify the gases of air iii. demonstrate the air in nature iv. explain the use of air."
6,Air- floatation Objects that flow jn aar Make things that float in air,"At the end of the lesson, pupils should be able to: i. mention objects that float in air; ii.identify the characters ot the objects that can float In air; iii. construct/make things (kites, blown balloons etc.) float or fly in air."
7,Mid-Term Assessment,Mid-Term Assessment
8,Water – Object that Float in water,"At the end of the lesson, pupils should be able to: i. mention objects that float in water ii. describe the characteristics of object that float in water iii. demonstrate how to make objects float in water."
9,Water – Object that sink in water,"At the end ofthe lesson, pupils should be able to: i.identify objects ffat sinkin water; ii. describe the characteristics of objects that flow in water iii. examine how heavy objects sinkin water,"
10,Road user -Meaning of road -Road users Correct use of the road,"Pupils should be able to. i. say the meaning of roads; ii. identify different road users (e.g. cars, bicycles, motor cycle, humans, animals etc) iii how each user correctly use road;"
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
