0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Christian Religious Studies Scheme of Work for Primary/Basic 2,Christian Religious Studies Scheme of Work for Primary/Basic 2,Christian Religious Studies Scheme of Work for Primary/Basic 2
,CLASS,Primary/Basic 2
,SUBJECT,Christian Religious Studies
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,,
2,Jesus the man of prayer,"By the end of the lesson, pupils should be able to: 1. Identify Jesus as a man of prayer 2. State the reasons why Jesus prayed 3. Mention instances in their lives when they ought to pray"
3,Jesus the man of prayer (Contd.),"By the end of the lesson, pupils should be able to: 1. Explain the importance of prayers In the life of a Christian. 2. State the significance of prayer in the life of Jesus 3. Use passages from the Bible to explain the instances when and why Jesus prayed."
4,Jesus teachings on prayer,"By the end of the lesson, pupils should be able to: 1. Discuss Jesus teaching on prayer 2. Describe bow Jesus taught us to pray 3. Recite the Lord’s prayer"
5,Jesus teachings on prayer,"By the end of the lesson, pupils should be able to: 1. Discuss die value of constancy in prayer 2. Describe right attitude to prayer 3. Explain the reasons Jesus asked us to pray."
6,Types of prayer i. Intersessory ii. Thanksgivng iii. Confession of sin iv. Petition v. Supplication,"By the end ofthe lesson, pupils should be able to: 1. Define prayer 2. list wpes of prayer 3. Enumerate some of the things to pray for"
7,MID-TERM BREAK,MID-TERM BREAK
8,Types of prayer i. Petition prayer ii. Praise and worship iii. Supplication,"By the end of the lesson, puplls should be able to: 1. Narrate major way we can communicate to God 2. List types of prayers 3. Explain why Christians pray"
9,Forms of Prayer i. Verbalizing ii. Meditation iii. Adoration iv.Groaning,"By the end of the lesson, pupils should be able to: 1. Descnbe what prayer is 2. mention the different forms of prayer 3. state benefit of prayer"
10,Forms of Praycr,"By the end of the lesson, pupils should bc able to: i. Explain the different forms of prayer ii. Identify people in the Bible that prayed iii. Statc reasons why people pray the different forms of prayer"
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
