0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Cultural and Creative Art
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,READINESS TEST -CRAFT MAKING,"By the end of the lesson, pupils should bc able to: i.explain craft making; ii. identify some material used in craft making e.g. wood paper, gum etc. in/outside the classroom; iii. make simple craft work e.g. paper fan, paper flower, papier mache etc."
2-3,DESIGNING PATTERNS USING BASIC SHAPES,"By the end ofthe lesson, pupils should be able to: i. explain basics shapes; ii. identify and draw basic shape like triangle, square etc; iii. explain what patterns are; iv. demonstrate how to use basic shape"
4-5,MUSICSTAFF (STAVE),"end ofthe lesson, pupils should be able to: i. explain music or stave; ii. list the uses of staff or stave; iii. sing the school anthem/ national anthem,"
6,COLOURING PATTERNS OF BASIC SHAPE,"By the end of åe lesson, pupils should be able to: i. expIain what is colouring; ii. list some basic shapes with suitable colours; iii. explain what colour are: iv. demonstrate how to apply colours on shapes."
7,TEST/MID-TERM/OPEN DAY,TEST/MID-TERM/OPEN DAY
8-9,LINES & SPACE OF THE STAFF WITH THE 1st 7 LETTERS OF ALPHABETH CLEF,"By the end of the lesson, pupils should be able to: i. identify the 1st to 7th letters of the English alphabets as musical alphabets A, B, C, D, E, F, G; ii. read the seven letters of English alphabets; iii. draw the treble and bass clef"
10,PAPER CRAFT MAKING,"By the end of the lesson, pupils hould be able to: i. explain what is paper crafts; ii. list types of paper crafts e.g. fan, kite, aeroplanc, flower, box ctc,; iii. list the materials and uses of paper crafts; iv. demonstrate how to make paper crafts,"
11,REVISION,REVISION
12&13,EXAMINATION,EXAMINATION
