0,1,2
,CLASS,Primary/Basic 2
,SUBJECT,Mathematics
,TERM,Second Term
WEEKS,TOPICS,Learning Objectives
1,Revision Counting Skill: Numbers 1-450 and 251-450,"Pupils should be able to: i. count numbers 1-450 ii, order numbers from 1 – 450 iii. identify numbers from 1-450 iv. add two 2- digit numbers with sum not more than 100 using math facts v. subtract 1 digit number from a 2- digit number. vi. compare numbers using place value system vii. arrange items in order and identfy them using the ordinal numbers. [dentify fractions and shapes"
1,Writing Skills: -Writing of the numbers. Revision of the first term work,
2,Addition of two 2 digit numbers without exchanging or remaining Counting Skill: Numbers 450-470 and 1-470,"Pupils should be able to: i. identify numbers from 450-470 and 1-470 ii. count from I – 470 iii, write numbers 450 – 470 and 1-470 In numerals and in words iv. add three 3-digit numbers without exchanging or renaming v. relate addition to real life experiences, e.g. adding the sum of items purchased in a shop correctly vi. solve real life problems on two 3-digit numbers. vii. count and say the numbers in expanded form and write the numerals as 96=9 tens + 6 units"
2,Writing Skill: -Writing of the numbers. -Addition of 2 – digit numbers without exchanging or renaming,
3,"Subtraction of two 2 – digit numbers with regrouping Counting Skill: Numbers: 490 510, 1-250 and 251-510","Pupils should be able to: i. identify numbers from 490 -510 ii. count from 1-510 iii. write numbers 490 – 510 and 1-510 in numerals and in words. iv. words identify place values of units, tens, and hundreds in numbers. v. solve real life problems on subtraction e.g. vi. paying items in a shop and collecting the correct change"
3,Writing Skill: -Writing and reading of the numbers. -Subtraction of Two 2 – digit numbers without exchanging or remaining.,
4,"Additionof two 3 digit numbers without exchanøng or remaining Counting Skill: Numbers 510-530, 1-250 and 251-530",Pupils should be able to: i. identify numbers from 510-530 ii. count from 1-530 numbers 510-530 in numerals and words. iii. add 3-digit numbers without exchanging or renaming iv. solve real life problems on adding 3-digit numbers.
4,Writing Skill: -Writing and reading ofthe numbers. -Addition of 3 – digit numbers without exchanging or remaining,
5,"Subtraction of two 3 – digit numbers without renaming or exchanging Counting Skill: Numbers 530 -550, 1-250, 251-550","Pupils should be able to: i. identify numbers from 530-550 count from 1-550 ii. write numbers 530 -550 and 1-550 in numerals and in words. iii. subtract No 2-digit numbers without regrouping iv. subtract 3-digit numbers without regrouping v. relate subtraction to life problems, e.g. paying for items in a shop and collecting the correct change."
5,Writing Skill: -Writing of the numbers. -Subtraction of 3 digit number; without exchanging or remaining,
6,"Odd and even numbers from 1-100 Count1ng Skills Numbers 550 — 570, 1-250 and 251-570",Pupils should be able to: i. identify from 550-570 from —570 ii. write 550 -570 and 1-570 in numerals and in words iii. identify odd and even numbers iv. determine Weather a group of objects have an odd or even number of objects. v. justify that the sum of two odd number is even. is even.
6,Writing Still: -Writing and reading of the numbers. -Odd and even numbers from 100,
7,MID TERM BREAK,MID TERM BREAK
8,"Open sentences — involving addition and subtraction Counting Skills -Numbers 570-600, 1-300 and 301-600",Pupils should be able to: i. identify from 570-600 ii. order numbers from 1-600 iii. count from 1-600 iv. write numbers 570- 600 in numerals and words v. identify an open sentence vi. determine when to add or subtract in an open sentenæ vii. solve open sentences by performing arithmetic operations
8,Writing Skill: -Writing of the numbers. -Addition and subtraction in an open sentence.,
9,"Multiplication: using repeated addition (Additive Multiplication) Counting Skill: -Numbers 250 — 300, 301-600. -counting of numbers in 2s, 3s, 5sand 10s","Pupils should be able to: i. identify numbers from 250-300 ii. order numbers from 1-300 iii. count from 1-300, iv. skip count in 2s, 3s, 5s and 10s v. wriite numbers 250-300 in numerals and words vi. illustrate and explaln the concept of multiplication. vii. identify the mutiplication sign viii. multiply numbers, using repeated addition without renaming or exchanging. ix. apply multiplicaüon"
9,Writing Skills: -Writing of the numbers in ascending and descending orders. -Multiplication of 1-digit number by 2 or 3 without remaining or exchanging.,
10,"Multiplication: 2-digits numbers by digits 2 or 3 without remaining or exchanging. Counting Skill: -Numbers 300-350, 301-600. -Skip counung of numbers in 2s, 3s, 5s and 10s -Reciting/ singing multiplication tables 2 and 3","Pupils should be able to: i. identify numbers from 250-300 ii. order numbers from 1-350 iii. count from 1-300, iv. Write number 301-600 in numerals and words. v. multiply 2 digit number by 2 without renaming or exchanging vi. skip count in 2s, 3s, 5s and 10s."
10,Writing Skills: -Writing of the numbers in ascendmg and descending orders. -Multiplication 2-digits number by 2 or 3 without remaining or exchanging,
11,Practical Work Revision of the term’s work,Pupils sbould be able to;
12,EXAMINATION,EXAMINATION
13,EXAMINATION,EXAMINATION
