0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATIONUNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATIONUNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATIONUNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Physical and Health Education Scheme of Work for Primary/Basic 2,Physical and Health Education Scheme of Work for Primary/Basic 2,Physical and Health Education Scheme of Work for Primary/Basic 2
,CLASS,Primary/Basic 2
,SUBJECT,Physical and Health Education
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Movement of the body,
2,Movement of the body,"At the end ome lesson, pupils should able to i. perform basic movement such as match past, jogging acivities, carryout galloping"
3,Movement,"At the end of the lesson. should be able to i. Perform basic such as galopping, skipping and squatting."
4,Movement,"At the end of the lesson, pupils should be able to i. imitate movement and sounds madc by people ii. Animals iii. Machine and sound them"
5,Safety rules in movement,"At the end of the lesson, pupils should be able to: i. Identify safety rules in shooting heading, bending and stetching."
6,Atheletics,"At the end of the lesson, pupils should be able to 1.Perform 50m dash 2.Perform 75m, showing the start and the finish"
7,MID-TERM ASSESSMENT,MID-TERM ASSESSMENT
8,Athletics,"At the end of the lesson, pupils should be able to i. list the basic skills in long jump"
9,Safety Rules in Athletics,"At the end ofthe lesson, pupils should be able to i.1ist the safety rules in athletics ii. explain the safety rules in athletics"
10,Revision,Revision
11,Revision,Revision
12,EXAMINATION,EXAMINATION
