0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Security Education Scheme of Work for Primary/Basic 2,Security Education Scheme of Work for Primary/Basic 2,Security Education Scheme of Work for Primary/Basic 2
,CLASS,Primary/Basic 2
,SUBJECT,Security Education
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Sources of danger and insecurity,"By the end of this lesson, pupils should be able to: i. explain what danger is ii. differntiate between danger and insecurity iii.identify various sources of insecurity in Nigeria"
2,Sources of danger and insecurity Bombing I,"By the end of this lesson, pupils should be able to: i. explain bombing ii. outline the negative effect of bombing explosion in the environment"
3,Sources of Danger and Insecurity Bombin Il,"By the end of this lesson, pupils should be able to: i. explain the cons uences of involving in suicide bombing ii. discuss solutions to bomb explosion in Nigeria."
4,Sources of danger and Insecurity -suspicious movement,"By the end of this lesson, pupils should be able to: i. identify suspicious persons and activities in the school, ii. highlight what to do in case of any suspected movement in school and at home."
5,Sources of Insecurity,"By the end of this lesson, pupils should be able to: i. explain food poisoning ii. identify types and symptoms of food poisoning iii.enumerate the effect of food poisoning"
6,Sources of danger,"By the end of this lesson, pupils should be able to: i. identify dangerous chemicals such as acid, air asbestos, ii.dangerous chemicals on health"
7,MID TERM BREAK,MID TERM BREAK
8,Sources of danger and insecurity -Riot,"By the end of this lesson, pupils should be able to i.define riot ii. explain causes of riot iii. discuss how riot can be curbed in school"
9,Sources of Danger and Insecurity: Stranger,"By the end of the lesson, pupils should be able to: (i)identify strangers (ii) report stranger to superior person."
10,Revision,Revision
