0,1,2
,CLASS,Primary/Basic 3
,SUBJECT,Information Technology
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,Revision of 1st term work,Revision of 1st term work
2,System Application -Microsoft office -Encarta -Games -Mavis Beacon,i. Explain the term system application ii. Identify the various types of system application
3,Air in Motion Il -Harmful effects of wind,"By the end of the lesson, pupils should be able to: i. identify the useful effect of wind ii. explainthe harmful effect of wind on living and non-living things. iii. demostrate the bad effect of wind."
4,Difference between hardware and software,-Compare and contrast between hardware and software
5,Qualities of water -Meaning of water -Qualifies of good/pure -Contamination of water -Dangers of drinking bad water,"By the end of the leson, pupils should be able to i. mention the methods of determining good quality water from their past ii. the qualities of good water iii. differentiate between good and bad water, iv. list the qualities of good water; v. substances that can contaminate water making it unfit for use; vi. discuss the dangers of drinkng bad water."
6,Components of CPU -Arithmetic -Login Unit -Storage Unit,i. Explain the term Arithmetic ii. Login Unit and Storage unit iii. Outline the function of Arithmetic Login Unit and storage Unit
7,MID-TERM- ASSESSMENT,MID-TERM- ASSESSMENT
8,Components of CPU -Arithmetic Login unit -Storage Unit,i. Explain the term arithemetic ii. Login Unit and Storage unit iii. Outline the function of Arithmetic Login Unit and storage Unit
9,Input devices -Mouse -Keyboard -Scanner -Flash drive -Hard drive etc,i. Define input devices ii. Outline the functions of the various types of input devices
10,Launching of Microsoft word,Locate and launch Microsoft word
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
