0,1,2
,CLASS,Primary/Basic 4
,SUBJECT,Civic Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Revision of Second term Work/ Readiness test,
2,Meaning of Ethnicity,By the end of the lesson pupils should be able to: i. Explain the meaning of Ethnicity ii. Analyze the problem of ethnicity in Nigeria iii. Mention different ethnic groups in Nigeria
3,Causes of Ethnicity,By the end of the lesson pupils should be able to: 1. Highlight at least Five causes of ethnicity -Economic reason -Political reason -Tribalism 2. Explain the causes of Ethnicity 3. Debate the causes of Ethnicity
4,"Consequences of Ethnicity E.g. Communal conflicts, Political violence, Nepotism.",By the end of the lesson pupils should be able to: i. Itemize the consequences Of Ethnicity ii. Explain the consequences of Ethnicity iii. Justify the consequences of Ethnicity.
5,Solution to Ethnicity,By the end of the lesson pupils should be able to: i. Mention how to solve the problems of Ethnicity ii. Explain how to solve the problem of Ethnicity
6,Duties of Community leaders jn ensuring peaceful co -existence between ethnic groups,By the end of the lesson pupils should be able to: i. Explain the meaning of peaceful co-existence ii. Highlight the duties of community leaders in ensuring peaceful co-existence iii. Analyze the duties of community leaders.
7,MID TERM BREAK,MID TERM BREAK
8,Tribalism and Ethnicity,By the end of the lesson pupils should be able to: i. Explain identity ii. Analyze the meaning of Tribalism
9,Similarities Ethnicity and Tribalism,By the end of the lesson pupils should be able to: i. Identify the similarities between ethnicity and tribalism ii. Distinguish between ethnicity and tribalism iii. Describe some tribal intolerance in Nigeria
10,Similarities between ethnicity and Tribalism (PROJECT),By the end of the lesson pupils should be able to: i. Identify the similarities between ethnicity and tribalism ii. Describe the different tribes
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
