0,1,2
,CLASS,Primary/Basic 4
,SUBJECT,History
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,WELCOME TEST/REVISON OF FIRST TERM WORK,Revision of first term scheme of work
2-3,STATE CREATION IN NIGERIA 1967,"By the end of the lesson, pupils should be able to: i. define the term state ii. list the first set of states created in Nigeria, their year of creation and under whose regime they were created iii. list the Govemors of these States iv. Discuss the reasons why the states were created v. Mention the effect of the states creation vi. Name of the states created from each of the four regions"
4-5,STATE CREATION IN NIGERIA 1976 TILL DATE (CONTD),"By the end of the lesson, pupils should be able to: i. List the various states in Nigeria during this period , their year of creation and who created them ii. List the Govemors of these states iii. Choose why these states were created by rulers iv. Explain the impact ofthése states on Nigeria"
6,FEDERAL CAPITAL,"By the end of the lesson, pupils should be able to: i. describe the Federal Capital; ii. name the areas in Nigeria that have been names Federal Capital;"
7,MID TERM BREAK,MID TERM BREAK
8-9,FEDERAL CAPITAL,"By the end of the lesson, pupils should be able to: i.Name the second Federal Capital Territory of Nigeria ii.Name the regime and the year the second Federal Capital Territory was created iii.Tell why the second Federal capital Territory was created iv. Locate the second federal capital Territory on the Map of Nigeria"
10,REVISION,
11,EXAMINATION,Al learning employed during the first and second term
