0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Basic Science and Technology
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,REVISION AND READINESS TEST,
2(Basic Science),Air Meaning of air and air pressure; Properties of air (it occupies space); -application of air. Pressure,"By the end of the lesson, pupils be able to: 1. formulate a definition of air; 2. write the properties of air; 3. explain air pressure and its uses 4. demonstrate air pressure using simple objects"
(PHE),Hockey Game,"By the end of the lesson, pupils should be able to: 1. narrate brief history of hockey 2. compare between facilities and equipment in Hockey and other ball games 2. demonstrates basic skills in hockey ball game 3. investigate the advantages playing hockey game 4. recommend the safety measure in playing football game"
(IT),Photoshop Identification of tools on the Toolbar Drawing with Adobe Photoshop Painting object,"By the end of the lesson, pupils should be able to: 1. Identify tools on the toolbar 2. Draw and paint shapes"
3(Basic Science),IN OUR CLIMATE -Weather symbols. -Weather records. -Effect of climate change on the earth (Global warming),"By the end of the lesson, pupils be able to: 1. identify and write simple weather symbols; 2. observe changes in our climate over a period of time use the weather symbols to keep the records of weather and climatic changes; 3. explain global warming evaluate the effects of climate change on the earth."
(PHE),Table Tennis Game,"By the end of the lesson, pupils should be able to: 1. discuss brief history of Table Tennis 2. categorize types of facilities and equipment in Table Tennis 3. design a Table Tennis board. 4. demonstrates basic skills and techniques of Table Tennis game"
(IT),Adobe Photoshop -Identification of tools on the toolbar -Drawing with adobe photoshop -Painting object,"By the end of the lesson, pupils should be able to: 1. Identify tools on the toolbar 2. Draw and paint shapes"
4(Basic Science),"MOVEMENTS (Il) -The sun, moon and the sun and the earth: -rotafion","By the end of the lesson, pupils be able to: 1. describe the sun, moon and tie earth; 2. appraise the effects of the interaction between the sun, moon and the earth; 3. describe tie sources of light to the earth. 4. compare the different sources of light and their effects on the Earth and its inhabitants 5. discuss the effects of the Earth’s movements."
(PHE),Mentainance of sports facilities and equipment,"By the end of the lesson, pupils should be able to: 1. differentiates between sports facilities and equipment 2. list sports facilities and equipment 3. investigate reasons for keeping sports facilities and equipment"
(IT),"Computer network LAN WAN -Definition and types of network technology e.g bus, ring star, etc.","lesson, pupils should be able to: 1. Define each of the computer 2. Define network technology and outline the types of network technology"
5(Basic Science),SOLAR SYSTEM -Natural bodies in the sky. -The solar system. -The planets. -Gravity and weightlessness in space.,"By the end of the lesson, pupils be able to: 1. name and recognize the natural bodies that can be found in the sky: 2. identify the components of the solar system; 3. show in order all the planets; 4. demonstrate that the earth exerts a pull on objects and bodies. 5. explain why heavy objects float in space: they are no longer under the influence of the earth’s gravity -contrast between an object on Earth and an object in space"
(PHE),Physical Fitness,"By tie end of the lesson, pupils should be able to: 1. disauss the concept of physical Fitness 2. list the components of Physical fitness. 3. Differentiate between health and performance related physical components"
(IT),"Computer network LAN WAN Definition and types of network topology e.g. bus, ring star etc.","By the end of the lesson, pupils should be able to: 1. Define each of the computer network 2. Define network tochnology and outline the types of network tochnology"
6(Basic Science),"Colours: -Components of light; Primary, secondary and natural colours","By the end of the lesson, pupils be able to: 1. mention and identify the components of light (rainbow) 2. differentiate between primary and secondary colours; 3. name objects that have characteristic of natural colours. 4. mix colours"
(PHE),Physical Fitness,"By the end of the lesson, pupils should be able to: 1. demonstrates physical fitness enhancement activities e.g. Jogging, sit and reach, squat jump, frog jump, bench dip, V-sit, elbow balance 2. identify fitness enhancement activiies 3. investigate the benefits of fress enhancement activities such as: power, agility, flexibility and balance"
(IT),Computer network -Sketch and describe network technology -Advantages and uses of computer network,"By the end of the lesson, pupils should be able b: 1. Sketch and describe network to 10 2. Outline the advantages and uses of computer network"
7,MID TERM BREAK,MID TERM BREAK
8(Basic Science),FIRST ELEMENTS ON PERIODIC TABLE: -Meaning of an atom -Meaning of an elernent (all elements are arranged on a chart called periodic table). -first ten elements With theirs symbols.,"By the end of the lesson, pupils be able to: 1. Explain what an atom is develop a definition of an elements and know what an atom means; 2. state the first ten element on the periodic table with their symbols,"
(PHE),Gymnastics,"By the end of the lesson, pupils should be able to: 1. discus definition of gymnastics. 2. identify types of gymnastics activities e.g. agility/floor activities, stunts etc. 3. execute gymnastics activities"
(IT),Scratch in the classroom 1 Drawing shapes,"By the end of the lesson, pupils should be able to 1. Apply the scratch programming to draw basic shapes"
9(Basic Science),Introduction to wood handtools,"By the end of the lesson, pupils should be able to 1. formulate the definition of wood hand tools 2. identify measuring tools 3. compare marking tools and cutting tools"
(PHE),Gymnastics avtivities with aparatus,"By the end of the lesson, pupils should be able to 1. describe gymnastic activities with aparatus 2. demostrate gymanstic activities with aparatus e.g rope, skipping 3. execute gymnastic activities with aparatus e.g walking on beam, rope climbing"
(IT),Scratch in the classroom 1 (Basic mathematical operation),"By the end of the lesson, pupils should be able to 1. apply the scratch programming to basic mathematical operations (add, subtract, multiply and divide)"
10(Basic Science),Maitainance -Meaning -Types -Importance,"By the end of the lesson, pupils should be able to: 1. explain the meaning of maintenance 2. examine different types of maintenance 3. analyze the importance of maintenance"
(PHE),Recreation,"By the end of the lesson, pupils should be able to: 1. discuss definition of recreation 2. identify the two components of recreation 3. analyze between indoor and outdoor recreation 4. tabulate indoor and outdoor recreation"
(IT),Scratch in the community (friends),"By the end of the lesson, pupils should be able to’ 1. Apply the scratch programming to execute a string of conversaton between two friends,"
11(Basic Science),"Safety -Meaning of safety -Safety precautions•, -accident in and road; safety devices.","By the end of the lesson, pupils be able to. 1. explain the meaning of safety and accident; 2. discuss the causes of accident and methods of preventing accident; 3. List some safety devices and demonstrate the use of some safety devices 4. create a safety plan for keeping safe at home."
(PHE),Introduction to Direction -Four cardinal point,"By the end of the lesson, pupils should be able to: 1. describe four cardinal point 2. design four cadinal point 3. give Significance of four cardinal poins"
12,REVISION,
13,EXAMINATION,
