0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEME OF WORK FOR PRIMARY SCHOOLS
Yoruba Scheme of Work for Primary/Basic 6,Yoruba Scheme of Work for Primary/Basic 6,Yoruba Scheme of Work for Primary/Basic 6
,CLASS,Primary/Basic 6
,SUBJECT,Yoruba
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,"Idanw0 Ranpe fun ibö såå tuntun ati åtünyewo eko lori Édé, Äså ati Litiréso","Ni opin danilekoo, åwon akéköö yoo le: i. dåhün si åwon Ibeere to jeyo ninu lori Édé, Äså åti Litirésö ii. Won yoö mu’ gbogbo awon eko ti won ti kö ni såå ti d kojå wå si irånti."
2Ede,Onka Yoruba: 150-200 (Äadajö Igba).,"Ni opin danilekoo, åwon akéköö yoo le: i. Ka onkå Yorüba’ ni nombå åti édé. ii, Ko donkå Yorübå ni nomba ati édé. iii. Se åropö, isodipupo åti iyoküro ilana ede Yorubå. iv. Kiko åwon onkå wonyi sile pelu ise sise"
Asa,Ikini ni ile Yorubå,"Ni opin danilekoo, åwon akéköö yoo le sålåyé: i. ki ni ikini. ii. Bi a se n kini fün orisirisi igbå åti åsiko. iii. Idi ti ikini se se påtåki."
Lit,Kika iwé ti ijoba yan,"Ni opin danilekoo, åwon akéköö yoo le: i. Daruko onköwé ii. ka iwe naa aka dän moran. iii. salaye Itan naå ni soki. iv. So koko ini iwé"
3Ede,"Oro orüko, didå öro oruko mo ninu gbolohun.","Ni opin danilekoo, åwon akéköö yoo le: i. Fün örö oruko ni oriki ii. Dåruko orisirisi oruko ti o wå. iii. Sålåyé ise ti orö oruko n se ninu gbolohun (oluwa,abo.eyån). iv. Se åkojo åpeere lorisirisi. v. Dahùn ìbéèrè Iori eko yìi"
Asa,Ìwà Omolüàbi ni ilè Yorùbâ,"Ni opin danilekoo, åwon akéköö yoo le: i. Sàlàyé ohun ti ìwà omoluàbi jë ii. So ìdi ti Yorùba fi ka omolüàbi si püpo. iii. Daruko orisirisi ìwà omoluàbi lawujo Yoruba iv. So tan ni Yorùba n pè omoluabi v. Dahun Ibeere Iori eko yii"
