0,1,2
LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS,LAGOS STATE GOVERNMENT MINISTRY OF EDUCATION UNIFIED SCHEMES OF WORK FOR PRIMARY SCHOOLS
Basic Science and Technology Scheme of Work for Primary/Basic 3,Basic Science and Technology Scheme of Work for Primary/Basic 3,Basic Science and Technology Scheme of Work for Primary/Basic 3
,CLASS,Primary/Basic 3
,SUBJECT,Basic Science and Technology
,TERM,First Term
WEEK,TOPICS,Learning Objectives
1,Revision of Basic 2 work,
2(Basic Science),Measurement of Length -Meaning of length – instruments of measuring length -Standard metric units of length -Practical demonstrations of measuring length,"By the end of the lesson, pupils should be able to: i. mention the methods of obtaining length from their past experiences; ii.explain the meaning of length; iii. describe various instument for measuring length; iv.identify the metric units of measuring length (mm, cm); v. measure and record the length, breadth and height of objects around them; vi. analyse reason for differences in length"
(IT),Generational development of computers. -From Abacus to smart phone,i. Outline the various stages in computer development ii. Match the year and the advancement of computer development
(PHE),Moving our body parts,"By the end ofthe lesson, pupils should be able to; i. demonstrate the imitate movements and sound made by people, animals and machine ii. describe movements made in animals, people iii. demonstrate the fundamental movement patterns e.g bending, crawling, galloping, climbing etc"
3(Basic Science),Measurement of Mass -Meaning of mass instruments of measuring mass Standard,"By the end of the lesson, pupils should be able to: i. mention the methods of obtaining mass from their past experiences ii. explain the meaning of mass; iii. mention various instruments for measuring mass or objects; iv. identify the metric units of measuring mass (g kg); v. measure and record the weight of objects in the classroom; vi. compare masses of objects; vii. analyse reasons for differences in mass"
(IT),Generational deeloprnent computers -From Abacus to smart phone,i. Outline the various stages in computer develcpment ii. Match the year and the of computer development
(PHE),Movement,"By the end of the leson pupils should be able to; i. what is movement ii. State types of movement patterns iii. Demonstrate different movement pattern eg bending crawling galloping etc iv. explain the safety rule of movement pattern eg crawling, galloping bending dimbmg etc"
4(Basic Science),Measurement of Time -Meaning and instruments of specified time -Standard metric unit of time -Sprcified activities within specified time frame.,"By the end of the lesson, pupils should be able to: i. mention the meth0ds of obtaining time from past experience; ii. explain the meaning of time iii. mention instrument for masuring time; iv. identify the units of measuring time (seconds, minutes, hours, weeks months and years); v: discuss how specified time task are performed within specified time frame."
(IT),System Unit -Internal features of CPU -Motherboard -Processor -Bios battery – fan -RAM slot etc,Identify the various internal features of CPU and state their uses.
(PHE),Physical fitness,"By the end of the lesson, pupils should be able to: i. Explain what is physical fitness ii. Mention components of physical fitness iii. Demonstrate components of physical fitness e.g endurance, strength, agility, flexibility."
5(Basic Science),Forms of Energy -Light Energy -Meaning of light energy -Sources of light energy – Uses of light energy,"By the end of the lesson, pupils shouldbe able to: i. explain the meaning of light energy, ii. identify different sources of light energy, iii. describe uses of light energy to man; iv. analyse the importance of light in their envimnment"
(IT),System unit -Intemal features of CPU -Motherboard -Processor -Bios batery -Fan -RAM slot etc.,-Identify the various intemal features of the CPU and state their uses.
5-6(PHE),Physical fitness,"By end ofthe lesson, pupils should be able to i.list and explain fimess e.g endurance, strength, flexibility etc ii. Demonstrate the basic components of physical fitness iii. Describe the physical fitness activities to achieve e.g a. endurance b. strength c. flexibility"
6(Basic Science),Mirror- Image Formation -Properties of light -Plane mirrors -Reflection of light,"By the end of the lesson, pupils should be able to: i. identify characteristics of light; ii. describe types of mirrors; iii. demonstrate reflection of light using shiny surfaces; iv. explain the applications of reflection of light."
(IT),Hardware devices of a computer -Input & output devices,i. Define hardware devices ii. Outline and identify the various hardware devices
7,MID-TERM ASSESSMENT,MID-TERM ASSESSMENT
8(Basic Science),Forms of Technology I- Underdeveloped Technology -Forms of technology -Examples of underdeveloped technology -Characteristics of underdeveloped technology,"By the end of the lesson, pupils should be able to: i. identify forms of technology; ii. examine examples of technology: a.. farming with hoes and cutlasses; b. using of town crier, c. use of stones to make fire; d. use of animals like donkeys, camel etc for transportation iii. discuss the characteristics of underdeveloped technology"
(IT),Software application -Operating system -System applications,"-Explain software application, operating system and system application."
8-9(PHE),Athletes -Track event,"By the end of the lesson; pupils should be able to i. Explain sprints race e.g 100m, 200m, 400m ii. Mention the different types sprints races, 100m, 200m, 400m, etc iii. Mention the skill and techniques involved in the sprints race e.g take off, acceleration iv Describe the safe rules in sprint race"
9(Basic Science),Forms of Technology -Developed Technology -Examples of developcd technology -Characteristics or developed technology,"By the end of the lesson; pupils should be able to: i. identify forms of developed technology; ii. examine xamples of devclopcd technology a. farrning with harvesters and tractors; b. using of public address systems; c. use of lighters: d. use of ships, airplanes, jets etc for transportaion. iii. discuss the characteristics of developed technology iv. compare underdeveloped technology with developed technology."
(IT),Operating system -Windows -Linux -Ubuntu,i. Compare and contrast between the various types of operating system ii. State the functions of the different operating system iii. Outline the uses of the different operating system
10(Basic Science),Forms of Technolog Ill: -General uses of Technology,Pupils should be able to: i. identify forms of technology: ii. examine examples of modern day technology; iii. discuss uses of modern day technology; iv. analyse the importance of modern day technology; v. discuss the importance of modern technology in everyday activities.
(IT),Operating system -Windows -Linux -Ubuntu,i. Compare and contrast between the various types of operating system ii. State the functions of the different operating system iii. Outline the uses of the different operating system
(PHE),Athletes -Field event -high hump,"By the end of the lesson. pupils should be able to i. Mention the phases humps approaching, take off flight, landing ii. Demonstrate the jumping activities e.g jump and reach, jump and touch, jump on the spot iii. Discuss the concept of long jump iv. Demonstrate phases of long jump on the field"
11,REVISION,REVISION
12,EXAMINATION,EXAMINATION
